Time,Source,Destination,Protocol,Length
1775492779.4531252,192.168.31.42,20.189.173.25,6,1336
1775492779.456128,192.168.31.42,20.189.173.25,6,1336
1775492779.4601285,192.168.31.42,20.189.173.25,6,1336
1775492779.4651268,192.168.31.42,20.189.173.25,6,1336
1775492779.4641302,192.168.31.42,20.189.173.25,6,1336
1775492779.4691284,192.168.31.42,20.189.173.25,6,1336
1775492779.473851,192.168.31.42,20.189.173.25,6,1336
1775492779.4788544,192.168.31.42,20.189.173.25,6,1336
1775492779.4818525,192.168.31.42,20.189.173.25,6,1336
1775492779.4874766,192.168.31.42,20.189.173.25,6,1336
1775492779.4848502,192.168.31.42,20.189.173.25,6,1336
1775492779.5004745,192.168.31.42,20.189.173.25,6,1336
1775492779.5014744,192.168.31.42,20.189.173.25,6,1336
1775492779.515472,192.168.31.42,20.189.173.25,6,1336
1775492779.5234737,192.168.31.42,20.189.173.25,6,1336
1775492779.5214748,192.168.31.42,20.189.173.25,6,1336
1775492779.5284731,192.168.31.42,20.189.173.25,6,1336
1775492779.5344737,192.168.31.42,20.189.173.25,6,496
1775492779.5344737,192.168.31.42,20.189.173.25,6,1336
1775492779.5496762,192.168.31.42,20.189.173.25,6,1336
1775492779.557226,192.168.31.42,20.189.173.25,6,1336
1775492779.5682268,192.168.31.42,20.189.173.25,6,496
1775492779.6852677,20.189.173.25,192.168.31.42,6,54
1775492779.6852677,20.189.173.25,192.168.31.42,6,54
1775492779.6907446,20.189.173.25,192.168.31.42,6,54
1775492779.6907446,20.189.173.25,192.168.31.42,6,54
1775492779.6907446,20.189.173.25,192.168.31.42,6,54
1775492779.708995,20.189.173.25,192.168.31.42,6,54
1775492779.709901,20.189.173.25,192.168.31.42,6,149
1775492779.6907446,20.189.173.25,192.168.31.42,6,54
1775492779.730636,20.189.173.25,192.168.31.42,6,54
1775492779.7596705,192.168.31.42,20.189.173.25,6,54
1775492779.7596705,20.189.173.25,192.168.31.42,6,149
1775492779.789948,192.168.31.42,20.189.173.25,6,54
1775492780.6790192,192.168.31.1,224.0.0.1,2,50
1775492780.6790192,192.168.31.1,224.0.0.1,2,50
1775492781.0886133,192.168.31.42,224.0.0.22,2,62
1775492781.0886133,192.168.31.42,224.0.0.22,2,62
1775492781.6698596,192.168.31.42,20.189.173.25,6,167
1775492781.6688535,192.168.31.42,20.189.173.25,6,167
1775492781.7458925,192.168.31.42,20.189.173.25,6,1336
1775492781.7508929,192.168.31.42,20.189.173.25,6,1336
1775492781.755501,192.168.31.42,20.189.173.25,6,1336
1775492781.7605002,192.168.31.42,20.189.173.25,6,1336
1775492781.7645028,192.168.31.42,20.189.173.25,6,1336
1775492781.7701335,192.168.31.42,20.189.173.25,6,1336
1775492781.7731347,192.168.31.42,20.189.173.25,6,1336
1775492781.8247461,192.168.31.42,20.189.173.25,6,1336
1775492781.8388562,192.168.31.42,20.189.173.25,6,1336
